"","ID","BIOCHEMICAL","CHEMICAL.ID","COMP.ID","PLATFORM","RI","MASS","CAS","KEGG","HMDB","PUBCHEM","CHEMSPIDER","PATHWAY.SORTORDER","SUPER.PATHWAY","SUB.PATHWAY"
"M.44621","M.44621","1-(1-enyl-oleoyl)-GPE (P-18:1)*",100005372,44621,"LC/MS Neg;LC/MS Pos Late",6250,462.299,NA,NA,NA,NA,NA,356,"Lipid","Lysoplasmalogen"
"M.15122","M.15122","glycerol",1254,15122,"GC/MS;LC/MS Neg",1311,205,"56-81-5","C00116","HMDB00131","753",733,357,"Lipid","Glycerolipid Metabolism"
"M.15365","M.15365","glycerol 3-phosphate",100000258,15365,"GC/MS",1719.7,357.1,"29849-82-9","C00093","HMDB00126","754",734,358,"Lipid","Glycerolipid Metabolism"
"M.21127","M.21127","1-palmitoylglycerol (16:0)",100000827,21127,"LC/MS Pos;LC/MS Neg",5790,348.3108,"542-44-9",NA,"HMDB31074","14900",14201,359,"Lipid","Monoacylglycerol"
"M.21184","M.21184","1-oleoylglycerol (18:1)",100000924,21184,"LC/MS Pos;LC/MS Neg",5820.4,374.3265,"111-03-5",NA,"HMDB11567","5283468",4446588,360,"Lipid","Monoacylglycerol"
"M.27447","M.27447","1-linoleoylglycerol (18:2)",100001040,27447,"LC/MS Pos;LC/MS Neg",5685,372.3108,"2277-28-3",NA,NA,"5283469",4446589,361,"Lipid","Monoacylglycerol"
"M.21232","M.21232","2-oleoylglycerol (18:1)",100000943,21232,"LC/MS Pos;LC/MS Neg",5821.7,374.3265,"3443-84-3",NA,"HMDB11537","5319879",4478086,362,"Lipid","Monoacylglycerol"
"M.17769","M.17769","sphinganine",313,17769,"LC/MS Pos;LC/MS Pos Late",5178.3,302.3054,"3102-56-5","C00836","HMDB00269","3126",3014,363,"Lipid","Sphingolipid Metabolism"
"M.37506","M.37506","palmitoyl sphingomyelin (d18:1/16:0)",100002107,37506,"GC/MS;LC/MS Pos Late",2524,311.3,"6254-89-3",NA,NA,"9939941",8115562,364,"Lipid","Sphingolipid Metabolism"
"M.19503","M.19503","stearoyl sphingomyelin (d18:1/18:0)",1538,19503,"GC/MS;LC/MS Pos Late",2645,311.3,"85187-10-6;85187-10-6","C00550","HMDB01348","6453725",4956085,365,"Lipid","Sphingolipid Metabolism"
"M.17747","M.17747","sphingosine",297,17747,"LC/MS Pos;LC/MS Pos Late",5179.9,300.2897,"123-78-4","C00319","HMDB00252","5353955",4510275,366,"Lipid","Sphingolipid Metabolism"
"M.34445","M.34445","sphingosine 1-phosphate",100000626,34445,"LC/MS Pos;LC/MS Pos Late",5543,380.256,"26993-30-6","C06124","HMDB00277","5283560",4446673,367,"Lipid","Sphingolipid Metabolism"
"M.63","M.63","cholesterol",266,63,"GC/MS;LC/MS Pos Late",2316.9,329.3,"57-88-5","C00187","HMDB00067","11025495",4937803,368,"Lipid","Sterol"
"M.36776","M.36776","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)",100001609,36776,"LC/MS Neg",5288.1,429.301,"115538-85-7","C17337","HMDB12458","3081085",2338765,369,"Lipid","Sterol"
"M.38170","M.38170","pregnenolone sulfate",100002129,38170,"LC/MS Neg",5100,395.1898,"1247-64-9",NA,"HMDB00774","105074",94802,370,"Lipid","Pregnenolone Steroids"
"M.46115","M.46115","21-hydroxypregnenolone disulfate",100001999,46115,"LC/MS Neg",3935,245.0671,"1164-98-3",NA,NA,"134595",118625,371,"Lipid","Pregnenolone Steroids"
"M.32562","M.32562","pregnenediol disulfate (C21H34O8S2)*",100001993,32562,"LC/MS Neg",3868,238.0775,NA,NA,NA,NA,NA,372,"Lipid","Pregnenolone Steroids"
"M.32619","M.32619","pregnenediol sulfate (C21H34O5S)*",100002067,32619,"LC/MS Neg",5000,397.2054,"1247-64-9",NA,NA,NA,13465233,373,"Lipid","Pregnenolone Steroids"
"M.37200","M.37200","5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",100002014,37200,"LC/MS Neg",5060,399.2211,NA,NA,NA,NA,NA,374,"Lipid","Progestin Steroids"
"M.37198","M.37198","5alpha-pregnan-3beta,20alpha-diol disulfate",100001988,37198,"LC/MS Neg",3962,239.0853,NA,NA,NA,NA,NA,375,"Lipid","Progestin Steroids"
"M.46172","M.46172","5alpha-pregnan-diol disulfate",100002015,46172,"LC/MS Neg",4310,239.0853,NA,NA,NA,"5127902",4302261,376,"Lipid","Progestin Steroids"
"M.40708","M.40708","pregnanediol-3-glucuronide",100003470,40708,"LC/MS Neg",5145,495.2963,"1852-49-9",NA,"HMDB10318","123796",110346,377,"Lipid","Progestin Steroids"
"M.5983","M.5983","corticosterone",272,5983,"LC/MS Neg",5040,345.2071,"50-22-6","C02140","HMDB01547","5753",5550,378,"Lipid","Corticosteroids"
"M.1712","M.1712","cortisol",356,1712,"LC/MS Pos;LC/MS Neg",4561.9,363.2166,"50-23-7","C00735","HMDB00063","5754",NA,379,"Lipid","Corticosteroids"
"M.1769","M.1769","cortisone",273,1769,"LC/MS Pos;LC/MS Neg",4407.9,361.201,"53-06-5","C00762","HMDB02802","222786",361685,380,"Lipid","Corticosteroids"
"M.32425","M.32425","dehydroisoandrosterone sulfate (DHEA-S)",100000792,32425,"LC/MS Neg",4745,367.1585,"651-48-9","C04555","HMDB01032","12594",12074,381,"Lipid","Androgenic Steroids"
"M.38168","M.38168","16a-hydroxy DHEA 3-sulfate",100002126,38168,"LC/MS Neg",4240,383.1534,NA,NA,NA,NA,NA,382,"Lipid","Androgenic Steroids"
"M.47640","M.47640","androsterone glucuronide",NA,47640,"LC/MS Neg",4968,465.2504,NA,NA,NA,NA,NA,383,"Lipid","Androgenic Steroids"
"M.33973","M.33973","epiandrosterone sulfate",100001287,33973,"LC/MS Neg",4855,369.1741,"22229-22-7",NA,NA,"9929317",21403101,384,"Lipid","Androgenic Steroids"
"M.31591","M.31591","androsterone sulfate",100001073,31591,"LC/MS Neg",5022,369.1741,"2479-86-9",NA,"HMDB02759","159663",19988780,385,"Lipid","Androgenic Steroids"
"M.47112","M.47112","etiocholanolone glucuronide",100005403,47112,"LC/MS Neg",4915,465.2494,"621890",NA,"HMDB04484","270605",NA,386,"Lipid","Androgenic Steroids"
"M.37183","M.37183","5alpha-androstan-3alpha,17alpha-diol monosulfate",100002008,37183,"LC/MS Neg",5208,371.1898,NA,NA,NA,NA,NA,387,"Lipid","Androgenic Steroids"
"M.37211","M.37211","androstenediol (3beta,17beta) monosulfate (1)",100002028,37211,"LC/MS Neg",4535,369.1741,"521-17-5",NA,"HMDB03818","13847309",NA,388,"Lipid","Androgenic Steroids"
"M.37210","M.37210","androstenediol (3beta,17beta) monosulfate (2)",100002029,37210,"LC/MS Neg",4500,369.1741,NA,NA,NA,NA,NA,389,"Lipid","Androgenic Steroids"
"M.37202","M.37202","androstenediol (3beta,17beta) disulfate (1)",100001992,37202,"LC/MS Neg",3740,224.0618,NA,"C04295","HMDB03818","87120982",NA,390,"Lipid","Androgenic Steroids"
"M.37203","M.37203","androstenediol (3beta,17beta) disulfate (2)",100001994,37203,"LC/MS Neg",4065,224.0624,NA,"C04295","HMDB03818","87120982",NA,391,"Lipid","Androgenic Steroids"
"M.37207","M.37207","androstenediol (3alpha, 17alpha) monosulfate (2)",100002026,37207,"LC/MS Neg",4712,369.1741,NA,NA,NA,NA,NA,392,"Lipid","Androgenic Steroids"
"M.37209","M.37209","androstenediol (3alpha, 17alpha) monosulfate (3)",100002027,37209,"LC/MS Neg",5180,369.1741,NA,NA,NA,NA,NA,393,"Lipid","Androgenic Steroids"
"M.37185","M.37185","5alpha-androstan-3alpha,17beta-diol monosulfate (2)",100006005,37185,"LC/MS Neg",5080,371.1898,NA,NA,NA,NA,NA,394,"Lipid","Androgenic Steroids"
"M.37184","M.37184","5alpha-androstan-3alpha,17beta-diol disulfate",100002017,37184,"LC/MS Neg",4275,225.0697,NA,NA,NA,NA,NA,395,"Lipid","Androgenic Steroids"
"M.47132","M.47132","5alpha-androstan-3alpha,17beta-diol 17-glucuronide",100005396,47132,"LC/MS Neg",4930,467.265,NA,NA,NA,NA,NA,396,"Lipid","Androgenic Steroids"
"M.37190","M.37190","5alpha-androstan-3beta,17beta-diol disulfate",100001987,37190,"LC/MS Neg",3880,225.0697,"571-20-0","C12525","HMDB00493","242332",NA,397,"Lipid","Androgenic Steroids"
"M.37187","M.37187","5alpha-androstan-3beta,17alpha-diol disulfate",100002021,37187,"LC/MS Neg",4215,225.0697,NA,NA,NA,NA,NA,398,"Lipid","Androgenic Steroids"
"M.32827","M.32827","andro steroid monosulfate C19H28O6S (1)*",100002152,32827,"LC/MS Neg",3871,383.1534,NA,"C04555","HMDB02759",NA,NA,399,"Lipid","Androgenic Steroids"
"M.18474","M.18474","estrone 3-sulfate",1230,18474,"LC/MS Neg",4417.3,349.1115,"438-67-5","C02538","HMDB01425","3001028",16740220,400,"Lipid","Estrogenic Steroids"
"M.22842","M.22842","cholate",136,22842,"LC/MS Neg",5165,407.2803,"81-25-4","C00695","HMDB00619","221493",NA,401,"Lipid","Primary Bile Acid Metabolism"
"M.18476","M.18476","glycocholate",342,18476,"LC/MS Neg;LC/MS Pos",5163,464.3018,"475-31-0;863-57-0","C01921","HMDB00138","10140",9734,402,"Lipid","Primary Bile Acid Metabolism"
"M.18497","M.18497","taurocholate",1648,18497,"LC/MS Neg",5150,514.2844,"145-42-6","C05122","HMDB00036","6675",NA,403,"Lipid","Primary Bile Acid Metabolism"
"M.1563","M.1563","chenodeoxycholate",1123,1563,"LC/MS Neg",5264,391.2854,"474-24-9;474-25-9","C02528","HMDB00518","10133",NA,404,"Lipid","Primary Bile Acid Metabolism"
"M.32346","M.32346","glycochenodeoxycholate",1628,32346,"LC/MS Neg;LC/MS Pos",5236.1,448.3068,"16564-43-5","C05466","HMDB00637","12544",NA,405,"Lipid","Primary Bile Acid Metabolism"
"M.18494","M.18494","taurochenodeoxycholate",1629,18494,"LC/MS Neg",5250,498.2895,"6009-98-9","C05465","HMDB00951","387316",343282,406,"Lipid","Primary Bile Acid Metabolism"
"M.33983","M.33983","tauro-beta-muricholate",100001250,33983,"LC/MS Neg",4774,514.2844,"25696-60-0",NA,"HMDB00932","168408",147312,407,"Lipid","Primary Bile Acid Metabolism"
"M.46742","M.46742","glyco-beta-muricholate**",NA,46742,"LC/MS Neg",4772,464.3021,NA,NA,NA,NA,NA,408,"Lipid","Primary Bile Acid Metabolism"
"M.46641","M.46641","glycochenodeoxycholate glucuronide (1)",NA,46641,"LC/MS Neg",4800,311.666,NA,NA,NA,NA,NA,409,"Lipid","Primary Bile Acid Metabolism"
"M.46637","M.46637","glycochenodeoxycholate sulfate",NA,46637,"LC/MS Neg",4806,263.6281,NA,NA,NA,NA,NA,410,"Lipid","Primary Bile Acid Metabolism"
"M.1114","M.1114","deoxycholate",302,1114,"LC/MS Neg",5294,391.2854,"83-44-3","C04483","HMDB00626","222528",389318,411,"Lipid","Secondary Bile Acid Metabolism"
"M.18477","M.18477","glycodeoxycholate",100000436,18477,"LC/MS Neg;LC/MS Pos",5281,448.3068,"360-65-6","C05464","HMDB00631","3035026",NA,412,"Lipid","Secondary Bile Acid Metabolism"
"M.12261","M.12261","taurodeoxycholate",1668,12261,"LC/MS Neg",5257.4,498.2895,"207737-97-1","C05463","HMDB00896","2733768",2015539,413,"Lipid","Secondary Bile Acid Metabolism"
"M.46706","M.46706","lithocholic acid sulfate (1)",NA,46706,"LC/MS Neg",4840,227.1198,NA,NA,NA,NA,NA,414,"Lipid","Secondary Bile Acid Metabolism"
"M.32620","M.32620","glycolithocholate sulfate*",100001657,32620,"LC/MS Neg",5011,255.6307,"15324-64-8","C11301","HMDB02639","72222",65188,415,"Lipid","Secondary Bile Acid Metabolism"
"M.36850","M.36850","taurolithocholate 3-sulfate",100001658,36850,"LC/MS Neg",5027,280.6221,"64936-83-0","C03642","HMDB02580","440071",389078,416,"Lipid","Secondary Bile Acid Metabolism"
"M.1605","M.1605","ursodeoxycholate",1135,1605,"LC/MS Neg",5055,391.2854,"128-13-2","C07880","HMDB00946","31401",29131,417,"Lipid","Secondary Bile Acid Metabolism"
"M.46740","M.46740","isoursodeoxycholate",NA,46740,"LC/MS Neg",4822,391.2858,NA,NA,NA,NA,NA,418,"Lipid","Secondary Bile Acid Metabolism"
"M.39379","M.39379","glycoursodeoxycholate",100002911,39379,"LC/MS Neg",5033,448.3068,"64480-66-6",NA,"HMDB00708","12310288",19973534,419,"Lipid","Secondary Bile Acid Metabolism"
"M.42574","M.42574","glycohyocholate",100004083,42574,"LC/MS Neg",5020,464.3018,NA,NA,NA,NA,NA,420,"Lipid","Secondary Bile Acid Metabolism"
"M.32599","M.32599","glycocholenate sulfate*",100001989,32599,"LC/MS Neg",4750,254.6229,NA,NA,NA,NA,NA,421,"Lipid","Secondary Bile Acid Metabolism"
"M.32807","M.32807","taurocholenate sulfate",100001990,32807,"LC/MS Neg",4750,279.6142,NA,NA,NA,NA,NA,422,"Lipid","Secondary Bile Acid Metabolism"
"M.46638","M.46638","glycodeoxycholate sulfate",NA,46638,"LC/MS Neg",4859,263.6281,NA,NA,NA,NA,NA,423,"Lipid","Secondary Bile Acid Metabolism"
"M.1123","M.1123","inosine",361,1123,"LC/MS Neg;LC/MS Pos",1602.1,267.0735,"58-63-9","C00294","HMDB00195","6021",21241953,424,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing"
"M.3127","M.3127","hypoxanthine",171,3127,"LC/MS Neg",1291.2,135.0312,"68-94-0","C00262","HMDB00157","790",768,425,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing"
"M.3147","M.3147","xanthine",1004,3147,"LC/MS Pos;LC/MS Polar",1449.7,153.0407,"69-89-6","C00385","HMDB00292","1188",1151,426,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing"
"M.15136","M.15136","xanthosine",100000299,15136,"LC/MS Pos;LC/MS Neg",1827,285.083,"146-80-5","C01762","HMDB00299","64959",58484,427,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing"
"M.46679","M.46679","N1-methylinosine",NA,46679,"LC/MS Pos",1880,283.1034,NA,NA,NA,NA,NA,428,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing"
"M.1604","M.1604","urate",1134,1604,"LC/MS Neg",757.1,167.0211,"69-93-2;120K5305","C00366","HMDB00289","1175",NA,429,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing"
"M.1107","M.1107","allantoin",1002,1107,"GC/MS;LC/MS Polar",1809.8,518.3,"97-59-6","C02350","HMDB00462","204",199,430,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing"
"M.32342","M.32342","adenosine 5'-monophosphate (AMP)",209,32342,"LC/MS Pos",1208,348.0704,"149022-20-8","C00020","HMDB00045","6083",10239183,431,"Nucleotide","Purine Metabolism, Adenine containing"
"M.2831","M.2831","adenosine 3',5'-cyclic monophosphate (cAMP)",207,2831,"LC/MS Neg",1952.2,328.0452,"60-92-4","C00575","HMDB00058","6076",268,432,"Nucleotide","Purine Metabolism, Adenine containing"
"M.555","M.555","adenosine",798,555,"LC/MS Pos;LC/MS Neg",1625.3,268.104,"58-61-7","C00212","HMDB00050","60961",54923,433,"Nucleotide","Purine Metabolism, Adenine containing"
"M.15650","M.15650","N1-methyladenosine",1242,15650,"LC/MS Pos;LC/MS Pos Early",1399,282.1197,"15763-06-1","C02494","HMDB03331","27476",4573813,434,"Nucleotide","Purine Metabolism, Adenine containing"
"M.35157","M.35157","N6-carbamoylthreonyladenosine",100001415,35157,"LC/MS Pos;LC/MS Neg",2673,413.1415,"24719-82-2",NA,"HMDB41623","161466",141829,435,"Nucleotide","Purine Metabolism, Adenine containing"
"M.47608","M.47608","N6-succinyladenosine",NA,47608,"LC/MS Pos",2184,384.1141,NA,NA,NA,NA,NA,436,"Nucleotide","Purine Metabolism, Adenine containing"
"M.1573","M.1573","guanosine",1099,1573,"LC/MS Neg;LC/MS Pos",1662,282.0844,"118-00-3","C00387","HMDB00133","6802",6544,437,"Nucleotide","Purine Metabolism, Guanine containing"
"M.32352","M.32352","guanine",172,32352,"LC/MS Pos;LC/MS Pos Early",1035,152.0567,"73-40-5","C00242","HMDB00132","764",744,438,"Nucleotide","Purine Metabolism, Guanine containing"
"M.35114","M.35114","7-methylguanine",100001456,35114,"LC/MS Pos;LC/MS Pos Early",1395.6,166.0723,"578-76-7","C02242","HMDB00897","11361",10883,439,"Nucleotide","Purine Metabolism, Guanine containing"
"M.31609","M.31609","N1-methylguanosine",100001122,31609,"LC/MS Pos",1869,298.1146,"2140-65-0",NA,"HMDB01563","96373",86996,440,"Nucleotide","Purine Metabolism, Guanine containing"
"M.35137","M.35137","N2,N2-dimethylguanosine",100001412,35137,"LC/MS Pos;LC/MS Pos Early",2168,312.1303,"2140-67-2",NA,"HMDB04824","92919",83878,441,"Nucleotide","Purine Metabolism, Guanine containing"
"M.606","M.606","uridine",535,606,"LC/MS Neg",1457.6,243.0623,"58-96-8","C00299","HMDB00296","6029",5807,442,"Nucleotide","Pyrimidine Metabolism, Uracil containing"
"M.605","M.605","uracil",825,605,"LC/MS Pos;LC/MS Polar",1152.2,113.0346,"66-22-8","C00106","HMDB00300","1174",1141,443,"Nucleotide","Pyrimidine Metabolism, Uracil containing"
"M.33442","M.33442","pseudouridine",821,33442,"LC/MS Neg;LC/MS Pos",1100,243.0623,"1445-07-4","C02067","HMDB00767","15047",21403010,444,"Nucleotide","Pyrimidine Metabolism, Uracil containing"
"M.46597","M.46597","5,6-dihydrouridine",NA,46597,"LC/MS Neg",1151,245.0773,NA,NA,NA,NA,NA,445,"Nucleotide","Pyrimidine Metabolism, Uracil containing"
"M.47391","M.47391","2'-O-methyluridine",NA,47391,"LC/MS Neg",1844,257.0784,NA,NA,NA,NA,NA,446,"Nucleotide","Pyrimidine Metabolism, Uracil containing"
"M.35136","M.35136","5-methyluridine (ribothymidine)",100001446,35136,"LC/MS Pos;LC/MS Neg",1829.3,259.0925,"1463-10-1",NA,"HMDB00884","445408",393058,447,"Nucleotide","Pyrimidine Metabolism, Uracil containing"
"M.1559","M.1559","5,6-dihydrouracil",1125,1559,"LC/MS Pos",1148,115.0502,"504-07-4","C00429","HMDB00076","649",629,448,"Nucleotide","Pyrimidine Metabolism, Uracil containing"
"M.3155","M.3155","3-ureidopropionate",1053,3155,"LC/MS Pos;LC/MS Pos Early",1090.6,133.0608,"462-88-4","C02642","HMDB00026","111",109,449,"Nucleotide","Pyrimidine Metabolism, Uracil containing"
"M.55","M.55","beta-alanine",244,55,"GC/MS;LC/MS Pos Early",1451.8,174,"56-41-7;107-95-9","C00099","HMDB00056","239",234,450,"Nucleotide","Pyrimidine Metabolism, Uracil containing"
"M.37432","M.37432","N-acetyl-beta-alanine",100002102,37432,"LC/MS Pos;LC/MS Neg",1471,132.0655,"3025-95-4","C01073",NA,"76406",68881,451,"Nucleotide","Pyrimidine Metabolism, Uracil containing"
"M.514","M.514","cytidine",827,514,"LC/MS Neg;LC/MS Pos",1325,242.0782,"65-46-3","C00475","HMDB00089","6175",5940,452,"Nucleotide","Pyrimidine Metabolism, Cytidine containing"
"M.35130","M.35130","N4-acetylcytidine",100001413,35130,"LC/MS Neg;LC/MS Pos",2040,284.0888,"3768-18-1",NA,"HMDB05923","107461",96702,453,"Nucleotide","Pyrimidine Metabolism, Cytidine containing"
"M.1418","M.1418","5,6-dihydrothymine",158,1418,"LC/MS Pos;LC/MS Neg",1654.2,129.0659,"696-04-8","C00906","HMDB00079","93556",84456,454,"Nucleotide","Pyrimidine Metabolism, Thymine containing"
"M.594","M.594","nicotinamide",432,594,"LC/MS Pos;LC/MS Pos Early",1271.1,123.0553,"98-92-0","C00153","HMDB01406","936",911,455,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism"
"M.32401","M.32401","trigonelline (N'-methylnicotinate)",100001092,32401,"LC/MS Pos;LC/MS Pos Early",771.8,138.055,"535-83-1","C01004","HMDB00875","5570",5369,456,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism"
"M.40469","M.40469","N1-Methyl-2-pyridone-5-carboxamide",100001468,40469,"LC/MS Pos;LC/MS Neg",1688,153.0659,"701-44-0","C05842","HMDB04193","69698",62899,457,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism"
"M.33510","M.33510","N1-methyl-4-pyridone-3-carboxamide",NA,33510,"LC/MS Pos",1653.7,153.0658,NA,NA,NA,NA,NA,458,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism"
"M.1827","M.1827","riboflavin (Vitamin B2)",500,1827,"LC/MS Pos",3098.3,377.1456,"83-88-5","C00255","HMDB00244","493570",431981,459,"Cofactors and Vitamins","Riboflavin Metabolism"
"M.1508","M.1508","pantothenate",1024,1508,"LC/MS Neg",1498.7,218.1034,"137-08-6","C00864","HMDB00210","6613",6361,460,"Cofactors and Vitamins","Pantothenate and CoA Metabolism"
"M.27738","M.27738","threonate",100001022,27738,"GC/MS;LC/MS Polar",1560.7,292.1,"70753-61-6","C01620","HMDB00943","151152",133224,461,"Cofactors and Vitamins","Ascorbate and Aldarate Metabolism"
"M.37516","M.37516","arabonate",100001937,37516,"GC/MS",1736,292.1,"7643-75-7","C00878","HMDB00539","122045",108861,462,"Cofactors and Vitamins","Ascorbate and Aldarate Metabolism"
"M.1561","M.1561","alpha-tocopherol",1105,1561,"GC/MS;LC/MS Pos Late",2305.4,502.5,"59-02-9;10191-41-0","C02477","HMDB01893","14985",14265,463,"Cofactors and Vitamins","Tocopherol Metabolism"
"M.44876","M.44876","gamma-CEHC",100002094,44876,"LC/MS Neg",3843,263.1289,"178167-75-4",NA,"HMDB01931","133098",117455,464,"Cofactors and Vitamins","Tocopherol Metabolism"
"M.42381","M.42381","gamma-CEHC glucuronide*",100004243,42381,"LC/MS Neg",2500,439.161,NA,NA,NA,NA,NA,465,"Cofactors and Vitamins","Tocopherol Metabolism"
"M.568","M.568","biotin",251,568,"LC/MS Pos",3028.2,245.0955,"58-85-5","C00120","HMDB00030","171548",149962,466,"Cofactors and Vitamins","Biotin Metabolism"
"M.1826","M.1826","folate",328,1826,"LC/MS Neg",1467,440.1324,"59-30-3","C00504","HMDB00121","6037",5815,467,"Cofactors and Vitamins","Folate Metabolism"
"M.41754","M.41754","heme",100001386,41754,"LC/MS Pos",5003,616.1762,"14875-96-8","C00032","HMDB03178","26945",NA,468,"Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism"
"M.43807","M.43807","bilirubin (Z,Z)",1090,43807,"LC/MS Neg;LC/MS Pos Late",4796,583.2562,"635-65-4","C00486","HMDB00054","5280352",4444055,469,"Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism"
"M.32586","M.32586","bilirubin (E,E)*",100001950,32586,"LC/MS Neg;LC/MS Pos Late",4294,583.2562,"114-25-0",NA,NA,"5315454",4474753,470,"Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism"
"M.2137","M.2137","biliverdin",250,2137,"LC/MS Neg;LC/MS Pos;LC/MS Pos Late",4695.6,581.2406,"55482-27-4;55482-27-4","C00500","HMDB01008","5353439",10628548,471,"Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism"
"M.32426","M.32426","I-urobilinogen",100001226,32426,"LC/MS Neg",4190,591.3188,"14684-37-8","C05790","HMDB04157","26818",24980,472,"Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism"
"M.40173","M.40173","L-urobilin",100002568,40173,"LC/MS Pos;LC/MS Pos Late",4072.3,595.349,"34217-90-8","C05793","HMDB04159","5280818",4444369,473,"Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism"
"M.5341","M.5341","thiamin (Vitamin B1)",873,5341,"LC/MS Neg",1726,263.0972,"59-43-8","C00378","HMDB00235","1130",NA,474,"Cofactors and Vitamins","Thiamine Metabolism"
"M.608","M.608","pyridoxine (Vitamin B6)",936,608,"LC/MS Pos",1417,170.0812,"58-56-0","C00314","HMDB02075","1054",1025,475,"Cofactors and Vitamins","Vitamin B6 Metabolism"
"M.31555","M.31555","pyridoxate",100001121,31555,"LC/MS Neg",2185,182.0459,"82-82-6","C00847","HMDB00017","6723",6467,476,"Cofactors and Vitamins","Vitamin B6 Metabolism"
"M.15753","M.15753","hippurate",100000014,15753,"LC/MS Neg",2106.9,178.051,"495-69-2","C01586","HMDB00714","464",451,477,"Xenobiotics","Benzoate Metabolism"
"M.18281","M.18281","2-hydroxyhippurate (salicylurate)",1869,18281,"LC/MS Neg",2184,194.0459,"487-54-7","C07588","HMDB00840","10253",9835,478,"Xenobiotics","Benzoate Metabolism"
"M.39600","M.39600","3-hydroxyhippurate",100002122,39600,"LC/MS Neg;LC/MS Pos",1687,194.0459,"1637-75-8",NA,"HMDB06116","450268",396603,479,"Xenobiotics","Benzoate Metabolism"
"M.35527","M.35527","4-hydroxyhippurate",100001423,35527,"LC/MS Neg",1475,194.0459,"2482-25-9",NA,"HMDB13678","151012",133104,480,"Xenobiotics","Benzoate Metabolism"
"M.15778","M.15778","benzoate",100000008,15778,"GC/MS",1291.5,179,"65-85-0","C00180","HMDB01870","243",238,481,"Xenobiotics","Benzoate Metabolism"
"M.35320","M.35320","catechol sulfate",100001605,35320,"LC/MS Neg",1906,188.9863,"4918-96-1",NA,"HMDB59724","3083879",2341024,482,"Xenobiotics","Benzoate Metabolism"
"M.46111","M.46111","guaiacol sulfate",100004208,46111,"LC/MS Neg",2344,203.002,NA,NA,"HMDB60013","22473",21078,483,"Xenobiotics","Benzoate Metabolism"
"M.46165","M.46165","3-methyl catechol sulfate (1)",100004112,46165,"LC/MS Neg",2790,203.002,NA,NA,NA,NA,NA,484,"Xenobiotics","Benzoate Metabolism"
"M.46146","M.46146","4-methylcatechol sulfate",100004111,46146,"LC/MS Neg",2665,203.002,NA,NA,NA,NA,NA,485,"Xenobiotics","Benzoate Metabolism"
"M.596","M.596","p-aminobenzoate (PABA)",875,596,"LC/MS Pos",2107,138.055,"150-13-0","C00568","HMDB01392","978",953,486,"Xenobiotics","Benzoate Metabolism"
"M.44620","M.44620","4-acetylphenol sulfate",100000711,44620,"LC/MS Neg",2375,215.002,NA,NA,NA,"4684006",3872009,487,"Xenobiotics","Benzoate Metabolism"
"M.36847","M.36847","2-ethylphenylsulfate",100001809,36847,"LC/MS Neg",3416,201.0227,NA,NA,NA,NA,NA,488,"Xenobiotics","Benzoate Metabolism"
"M.36848","M.36848","3-ethylphenylsulfate",100001808,36848,"LC/MS Neg",3530,201.0227,NA,"C14386",NA,NA,NA,489,"Xenobiotics","Benzoate Metabolism"
"M.36099","M.36099","4-ethylphenylsulfate",100001756,36099,"LC/MS Neg",3580,201.0227,"123-07-9","C13637",NA,NA,NA,490,"Xenobiotics","Benzoate Metabolism"
"M.36098","M.36098","4-vinylphenol sulfate",100001755,36098,"LC/MS Neg",3320,199.0071,"2628-17-3","C05627","HMDB04072","6426766",4932200,491,"Xenobiotics","Benzoate Metabolism"
"M.46625","M.46625","3-methoxycatechol sulfate (1) or (2)",NA,46625,"LC/MS Neg",2183,218.9969,NA,NA,NA,NA,NA,492,"Xenobiotics","Benzoate Metabolism"
"M.46478","M.46478","methyl-4-hydroxybenzoate sulfate",NA,46478,"LC/MS Neg",2870.1,230.9971,NA,NA,NA,NA,NA,493,"Xenobiotics","Benzoate Metabolism"
"M.46462","M.46462","propyl 4-hydroxybenzoate sulfate",NA,46462,"LC/MS Neg",3993,259.0283,NA,NA,NA,NA,NA,494,"Xenobiotics","Benzoate Metabolism"
